id_uso,id_cliente,competencia,logins_mes,horas_uso,funcionalidades_usadas
U0000000,C00000,2023-01-01,13,30.1,13
U0000001,C00000,2023-02-01,26,24.5,13
U0000002,C00000,2023-03-01,19,22.8,18
U0000003,C00000,2023-04-01,21,35.1,14
U0000004,C00000,2023-05-01,17,38.5,13
U0000005,C00000,2023-06-01,19,40.0,15
U0000006,C00000,2023-07-01,20,32.4,13
U0000007,C00000,2023-08-01,14,23.9,14
U0000008,C00000,2023-09-01,21,31.0,14
U0000009,C00000,2023-10-01,23,34.0,16
U0000010,C00000,2023-11-01,15,26.8,17
U0000011,C00000,2023-12-01,18,39.5,16
U0000012,C00000,2024-01-01,18,30.0,12
U0000013,C00000,2024-02-01,20,32.1,15
U0000014,C00000,2024-03-01,14,35.4,20
U0000015,C00000,2024-04-01,24,39.7,17
U0000016,C00000,2024-05-01,26,26.4,11
U0000017,C00000,2024-06-01,11,34.2,15
U0000018,C00000,2024-07-01,22,32.5,16
U0000019,C00000,2024-08-01,23,34.0,15
U0000020,C00000,2024-09-01,23,38.1,14
U0000021,C00000,2024-10-01,19,29.5,17
U0000022,C00000,2024-11-01,18,28.0,14
U0000023,C00000,2024-12-01,23,32.4,18
U0000024,C00000,2025-01-01,17,33.1,15
U0000025,C00000,2025-02-01,17,30.5,14
U0000026,C00000,2025-03-01,15,27.2,16
U0000027,C00000,2025-04-01,14,30.7,14
U0000028,C00000,2025-05-01,20,26.6,14
U0000029,C00000,2025-06-01,20,22.6,15
U0000030,C00000,2025-07-01,22,37.8,14
U0000031,C00000,2025-08-01,14,33.8,9
U0000100,C00001,2023-01-01,13,20.0,16
U0000101,C00001,2023-02-01,21,30.8,15
U0000102,C00001,2023-03-01,14,16.7,10
U0000103,C00001,2023-04-01,9,17.6,12
U0000104,C00001,2023-05-01,12,20.2,11
U0000105,C00001,2023-06-01,17,27.9,9
U0000106,C00001,2023-07-01,15,26.2,8
U0000107,C00001,2023-08-01,11,22.4,13
U0000108,C00001,2023-09-01,8,29.5,15
U0000109,C00001,2023-10-01,10,24.1,13
U0000110,C00001,2023-11-01,7,17.2,11
U0000111,C00001,2023-12-01,14,28.6,12
U0000112,C00001,2024-01-01,14,26.0,11
U0000113,C00001,2024-02-01,13,20.9,11
U0000114,C00001,2024-03-01,12,17.6,12
U0000115,C00001,2024-04-01,5,9.8,4
U0000116,C00001,2024-05-01,11,7.5,4
U0000117,C00001,2024-06-01,4,3.9,0
U0000200,C00002,2023-01-01,17,34.9,17
U0000201,C00002,2023-02-01,25,38.8,14
U0000202,C00002,2023-03-01,22,36.4,16
U0000203,C00002,2023-04-01,27,31.7,19
U0000204,C00002,2023-05-01,25,40.2,18
U0000205,C00002,2023-06-01,18,35.5,19
