id_assinatura,id_cliente,id_plano,data_inicio,data_fim,status,motivo_cancelamento,churn_flag
A00000,C00000,P1,2021-01-09,,Ativa,,0
A00001,C00001,P1,2021-03-26,2024-06-26,Cancelada,Insatisfação,1
A00002,C00002,P2,2020-12-18,,Ativa,,0
A00003,C00003,P1,2021-11-08,2025-01-22,Cancelada,Insatisfação,1
A00004,C00004,P1,2022-09-13,2023-03-11,Cancelada,Preço,1
A00005,C00005,P1,2020-12-11,,Ativa,,0
A00006,C00006,P3,2021-02-20,,Ativa,,0
A00007,C00007,P3,2021-03-19,,Ativa,,0
A00008,C00008,P1,2020-12-31,,Ativa,,0
A00009,C00009,P2,2022-04-30,,Ativa,,0
A00010,C00010,P4,2020-10-31,,Ativa,,0
A00011,C00011,P2,2022-04-22,2023-09-29,Cancelada,Preço,1
A00012,C00012,P1,2022-09-28,,Ativa,,0
A00013,C00013,P4,2021-01-05,,Ativa,,0
A00014,C00014,P2,2021-07-08,,Ativa,,0
A00015,C00015,P2,2022-06-29,2023-11-17,Cancelada,Concorrência,1
A00016,C00016,P2,2020-08-03,,Ativa,,0
A00017,C00017,P1,2020-08-19,,Ativa,,0
A00018,C00018,P4,2021-09-25,2023-12-12,Cancelada,Insatisfação,1
A00019,C00019,P1,2021-09-10,2023-05-06,Cancelada,Atendimento,1
A00020,C00020,P1,2022-09-21,2024-04-03,Cancelada,Preço,1
A00021,C00021,P1,2022-02-20,,Ativa,,0
A00022,C00022,P1,2022-08-25,,Ativa,,0
A00023,C00023,P1,2022-10-01,2024-05-21,Cancelada,Insatisfação,1
A00024,C00024,P1,2021-08-16,,Ativa,,0
A00025,C00025,P2,2020-07-29,2023-11-27,Cancelada,Insatisfação,1
A00026,C00026,P2,2022-06-17,2024-06-19,Cancelada,Preço,1
A00027,C00027,P3,2021-09-25,,Ativa,,0
A00028,C00028,P1,2022-10-05,,Ativa,,0
A00029,C00029,P4,2022-05-26,2023-04-02,Cancelada,Insatisfação,1
A00030,C00030,P4,2021-03-08,,Ativa,,0
A00031,C00031,P4,2021-01-16,,Ativa,,0
A00032,C00032,P1,2022-11-23,,Ativa,,0
A00033,C00033,P1,2022-07-20,2024-09-11,Cancelada,Insatisfação,1
A00034,C00034,P2,2022-11-24,,Ativa,,0
A00035,C00035,P1,2022-08-15,,Ativa,,0
A00036,C00036,P1,2021-07-20,2023-12-24,Cancelada,Insatisfação,1
A00037,C00037,P1,2020-10-04,,Ativa,,0
A00038,C00038,P2,2021-05-23,,Ativa,,0
A00039,C00039,P1,2020-09-08,,Ativa,,0
A00040,C00040,P1,2020-10-26,,Ativa,,0
A00041,C00041,P1,2020-09-22,,Ativa,,0
A00042,C00042,P1,2021-12-09,,Ativa,,0
A00043,C00043,P1,2020-10-02,,Ativa,,0
A00044,C00044,P3,2022-06-03,,Ativa,,0
A00045,C00045,P3,2021-09-12,2024-02-04,Cancelada,Insatisfação,1
