id_fatura,id_cliente,id_assinatura,competencia,valor,pago,dias_atraso
F0000000,C00000,A00000,2023-01-01,49.9,True,5
F0000001,C00000,A00000,2023-02-01,49.9,True,2
F0000002,C00000,A00000,2023-03-01,49.9,True,12
F0000003,C00000,A00000,2023-04-01,49.9,True,9
F0000004,C00000,A00000,2023-05-01,49.9,True,13
F0000005,C00000,A00000,2023-06-01,49.9,True,0
F0000006,C00000,A00000,2023-07-01,49.9,True,10
F0000007,C00000,A00000,2023-08-01,49.9,True,4
F0000008,C00000,A00000,2023-09-01,49.9,True,16
F0000009,C00000,A00000,2023-10-01,49.9,True,3
F0000010,C00000,A00000,2023-11-01,49.9,True,8
F0000011,C00000,A00000,2023-12-01,49.9,True,3
F0000012,C00000,A00000,2024-01-01,49.9,True,9
F0000013,C00000,A00000,2024-02-01,49.9,True,13
F0000014,C00000,A00000,2024-03-01,49.9,True,17
F0000015,C00000,A00000,2024-04-01,49.9,True,6
F0000016,C00000,A00000,2024-05-01,49.9,True,4
F0000017,C00000,A00000,2024-06-01,49.9,True,2
F0000018,C00000,A00000,2024-07-01,49.9,True,14
F0000019,C00000,A00000,2024-08-01,49.9,True,6
F0000020,C00000,A00000,2024-09-01,49.9,True,12
F0000021,C00000,A00000,2024-10-01,49.9,True,15
F0000022,C00000,A00000,2024-11-01,49.9,True,6
F0000023,C00000,A00000,2024-12-01,49.9,True,0
F0000024,C00000,A00000,2025-01-01,49.9,True,18
F0000025,C00000,A00000,2025-02-01,49.9,True,3
F0000026,C00000,A00000,2025-03-01,49.9,True,0
F0000027,C00000,A00000,2025-04-01,49.9,True,8
F0000028,C00000,A00000,2025-05-01,49.9,True,12
F0000029,C00000,A00000,2025-06-01,49.9,True,18
F0000030,C00000,A00000,2025-07-01,49.9,True,13
F0000031,C00000,A00000,2025-08-01,49.9,True,13
F0000100,C00001,A00001,2023-01-01,49.9,True,2
F0000101,C00001,A00001,2023-02-01,49.9,True,7
F0000102,C00001,A00001,2023-03-01,49.9,True,8
F0000103,C00001,A00001,2023-04-01,49.9,True,0
F0000104,C00001,A00001,2023-05-01,49.9,True,0
F0000105,C00001,A00001,2023-06-01,49.9,True,0
F0000106,C00001,A00001,2023-07-01,49.9,True,8
F0000107,C00001,A00001,2023-08-01,49.9,True,0
F0000108,C00001,A00001,2023-09-01,49.9,False,0
F0000109,C00001,A00001,2023-10-01,49.9,True,10
F0000110,C00001,A00001,2023-11-01,49.9,True,0
F0000111,C00001,A00001,2023-12-01,49.9,True,5
F0000112,C00001,A00001,2024-01-01,49.9,True,0
F0000113,C00001,A00001,2024-02-01,49.9,True,5
F0000114,C00001,A00001,2024-03-01,49.9,True,0
F0000115,C00001,A00001,2024-04-01,49.9,True,6
F0000116,C00001,A00001,2024-05-01,49.9,True,0
F0000117,C00001,A00001,2024-06-01,49.9,True,0
F0000200,C00002,A00002,2023-01-01,89.9,True,18
F0000201,C00002,A00002,2023-02-01,89.9,True,14
F0000202,C00002,A00002,2023-03-01,89.9,True,12
F0000203,C00002,A00002,2023-04-01,89.9,False,4
F0000204,C00002,A00002,2023-05-01,89.9,True,10
F0000205,C00002,A00002,2023-06-01,89.9,True,0
F0000206,C00002,A00002,2023-07-01,89.9,True,3
F0000207,C00002,A00002,2023-08-01,89.9,True,0
F0000208,C00002,A00002,2023-09-01,89.9,True,5
F0000209,C00002,A00002,2023-10-01,89.9,False,8
F0000210,C00002,A00002,2023-11-01,89.9,True,1
F0000211,C00002,A00002,2023-12-01,89.9,True,11
F0000212,C00002,A00002,2024-01-01,89.9,True,4
F0000213,C00002,A00002,2024-02-01,89.9,True,5
F0000214,C00002,A00002,2024-03-01,89.9,True,1
F0000215,C00002,A00002,2024-04-01,89.9,True,1
F0000216,C00002,A00002,2024-05-01,89.9,True,4
F0000217,C00002,A00002,2024-06-01,89.9,True,14
F0000218,C00002,A00002,2024-07-01,89.9,True,0
F0000219,C00002,A00002,2024-08-01,89.9,True,16
F0000220,C00002,A00002,2024-09-01,89.9,True,0
F0000221,C00002,A00002,2024-10-01,89.9,True,5
F0000222,C00002,A00002,2024-11-01,89.9,True,0
F0000223,C00002,A00002,2024-12-01,89.9,True,12
F0000224,C00002,A00002,2025-01-01,89.9,True,8
F0000225,C00002,A00002,2025-02-01,89.9,True,8
F0000226,C00002,A00002,2025-03-01,89.9,True,7
F0000227,C00002,A00002,2025-04-01,89.9,True,0
F0000228,C00002,A00002,2025-05-01,89.9,True,4
F0000229,C00002,A00002,2025-06-01,89.9,True,3
F0000230,C00002,A00002,2025-07-01,89.9,True,11
F0000231,C00002,A00002,2025-08-01,89.9,False,13
F0000300,C00003,A00003,2023-01-01,49.9,True,7
F0000301,C00003,A00003,2023-02-01,49.9,True,7
F0000302,C00003,A00003,2023-03-01,49.9,True,0
F0000303,C00003,A00003,2023-04-01,49.9,True,6
F0000304,C00003,A00003,2023-05-01,49.9,True,0
F0000305,C00003,A00003,2023-06-01,49.9,False,3
F0000306,C00003,A00003,2023-07-01,49.9,True,2
F0000307,C00003,A00003,2023-08-01,49.9,True,0
F0000308,C00003,A00003,2023-09-01,49.9,True,0
F0000309,C00003,A00003,2023-10-01,49.9,True,0
F0000310,C00003,A00003,2023-11-01,49.9,True,0
F0000311,C00003,A00003,2023-12-01,49.9,True,0
F0000312,C00003,A00003,2024-01-01,49.9,True,0
F0000313,C00003,A00003,2024-02-01,49.9,True,8
F0000314,C00003,A00003,2024-03-01,49.9,True,0
F0000315,C00003,A00003,2024-04-01,49.9,True,8
F0000316,C00003,A00003,2024-05-01,49.9,True,0
F0000317,C00003,A00003,2024-06-01,49.9,True,1
F0000318,C00003,A00003,2024-07-01,49.9,True,0
F0000319,C00003,A00003,2024-08-01,49.9,True,0
F0000320,C00003,A00003,2024-09-01,49.9,True,9
F0000321,C00003,A00003,2024-10-01,49.9,True,9
F0000322,C00003,A00003,2024-11-01,49.9,True,0
F0000323,C00003,A00003,2024-12-01,49.9,True,2
F0000324,C00003,A00003,2025-01-01,49.9,True,0
F0000400,C00004,A00004,2023-01-01,49.9,True,6
F0000401,C00004,A00004,2023-02-01,49.9,True,2
F0000402,C00004,A00004,2023-03-01,49.9,True,8
F0000500,C00005,A00005,2023-01-01,49.9,True,5
F0000501,C00005,A00005,2023-02-01,49.9,True,14
F0000502,C00005,A00005,2023-03-01,49.9,True,7
F0000503,C00005,A00005,2023-04-01,49.9,False,0
F0000504,C00005,A00005,2023-05-01,49.9,True,5
F0000505,C00005,A00005,2023-06-01,49.9,True,5
F0000506,C00005,A00005,2023-07-01,49.9,True,14
F0000507,C00005,A00005,2023-08-01,49.9,True,4
F0000508,C00005,A00005,2023-09-01,49.9,False,21
F0000509,C00005,A00005,2023-10-01,49.9,True,13
F0000510,C00005,A00005,2023-11-01,49.9,True,11
F0000511,C00005,A00005,2023-12-01,49.9,True,11
F0000512,C00005,A00005,2024-01-01,49.9,True,8
F0000513,C00005,A00005,2024-02-01,49.9,False,18
F0000514,C00005,A00005,2024-03-01,49.9,True,12
F0000515,C00005,A00005,2024-04-01,49.9,True,5
F0000516,C00005,A00005,2024-05-01,49.9,True,6
F0000517,C00005,A00005,2024-06-01,49.9,True,10
F0000518,C00005,A00005,2024-07-01,49.9,True,11
F0000519,C00005,A00005,2024-08-01,49.9,True,11
F0000520,C00005,A00005,2024-09-01,49.9,True,17
F0000521,C00005,A00005,2024-10-01,49.9,True,8
F0000522,C00005,A00005,2024-11-01,49.9,True,19
F0000523,C00005,A00005,2024-12-01,49.9,True,10
F0000524,C00005,A00005,2025-01-01,49.9,True,13
F0000525,C00005,A00005,2025-02-01,49.9,True,6
F0000526,C00005,A00005,2025-03-01,49.9,True,12
F0000527,C00005,A00005,2025-04-01,49.9,True,1
F0000528,C00005,A00005,2025-05-01,49.9,True,8
F0000529,C00005,A00005,2025-06-01,49.9,True,1
F0000530,C00005,A00005,2025-07-01,49.9,True,5
F0000531,C00005,A00005,2025-08-01,49.9,False,3
F0000600,C00006,A00006,2023-01-01,149.9,True,9
F0000601,C00006,A00006,2023-02-01,149.9,False,4
F0000602,C00006,A00006,2023-03-01,149.9,True,7
F0000603,C00006,A00006,2023-04-01,149.9,True,14
F0000604,C00006,A00006,2023-05-01,149.9,False,13
F0000605,C00006,A00006,2023-06-01,149.9,True,10
F0000606,C00006,A00006,2023-07-01,149.9,True,2
F0000607,C00006,A00006,2023-08-01,149.9,True,15
F0000608,C00006,A00006,2023-09-01,149.9,True,12
F0000609,C00006,A00006,2023-10-01,149.9,False,13
F0000610,C00006,A00006,2023-11-01,149.9,True,8
F0000611,C00006,A00006,2023-12-01,149.9,True,10
F0000612,C00006,A00006,2024-01-01,149.9,False,11
F0000613,C00006,A00006,2024-02-01,149.9,True,8
F0000614,C00006,A00006,2024-03-01,149.9,True,3
F0000615,C00006,A00006,2024-04-01,149.9,True,5
F0000616,C00006,A00006,2024-05-01,149.9,True,17
F0000617,C00006,A00006,2024-06-01,149.9,True,7
F0000618,C00006,A00006,2024-07-01,149.9,True,6
F0000619,C00006,A00006,2024-08-01,149.9,True,4
F0000620,C00006,A00006,2024-09-01,149.9,True,13
F0000621,C00006,A00006,2024-10-01,149.9,True,14
F0000622,C00006,A00006,2024-11-01,149.9,True,13
F0000623,C00006,A00006,2024-12-01,149.9,True,0
F0000624,C00006,A00006,2025-01-01,149.9,True,0
F0000625,C00006,A00006,2025-02-01,149.9,True,14
F0000626,C00006,A00006,2025-03-01,149.9,True,8
F0000627,C00006,A00006,2025-04-01,149.9,True,6
F0000628,C00006,A00006,2025-05-01,149.9,True,12
F0000629,C00006,A00006,2025-06-01,149.9,True,0
F0000630,C00006,A00006,2025-07-01,149.9,True,6
F0000631,C00006,A00006,2025-08-01,149.9,True,5
F0000700,C00007,A00007,2023-01-01,149.9,True,15
F0000701,C00007,A00007,2023-02-01,149.9,True,2
F0000702,C00007,A00007,2023-03-01,149.9,True,5
F0000703,C00007,A00007,2023-04-01,149.9,True,0
F0000704,C00007,A00007,2023-05-01,149.9,True,0
F0000705,C00007,A00007,2023-06-01,149.9,True,3
F0000706,C00007,A00007,2023-07-01,149.9,True,0
F0000707,C00007,A00007,2023-08-01,149.9,True,0
F0000708,C00007,A00007,2023-09-01,149.9,True,4
F0000709,C00007,A00007,2023-10-01,149.9,True,0
F0000710,C00007,A00007,2023-11-01,149.9,True,0
F0000711,C00007,A00007,2023-12-01,149.9,True,4
F0000712,C00007,A00007,2024-01-01,149.9,True,2
F0000713,C00007,A00007,2024-02-01,149.9,True,0
F0000714,C00007,A00007,2024-03-01,149.9,True,8
F0000715,C00007,A00007,2024-04-01,149.9,True,0
F0000716,C00007,A00007,2024-05-01,149.9,True,0
F0000717,C00007,A00007,2024-06-01,149.9,True,7
F0000718,C00007,A00007,2024-07-01,149.9,True,0
F0000719,C00007,A00007,2024-08-01,149.9,True,10
F0000720,C00007,A00007,2024-09-01,149.9,False,4
F0000721,C00007,A00007,2024-10-01,149.9,True,15
F0000722,C00007,A00007,2024-11-01,149.9,True,8
F0000723,C00007,A00007,2024-12-01,149.9,True,0
F0000724,C00007,A00007,2025-01-01,149.9,True,13
F0000725,C00007,A00007,2025-02-01,149.9,True,8
F0000726,C00007,A00007,2025-03-01,149.9,True,0
F0000727,C00007,A00007,2025-04-01,149.9,True,0
F0000728,C00007,A00007,2025-05-01,149.9,True,0
F0000729,C00007,A00007,2025-06-01,149.9,True,6
F0000730,C00007,A00007,2025-07-01,149.9,True,5
F0000731,C00007,A00007,2025-08-01,149.9,True,6
F0000800,C00008,A00008,2023-01-01,49.9,True,7
F0000801,C00008,A00008,2023-02-01,49.9,True,8
F0000802,C00008,A00008,2023-03-01,49.9,True,9
F0000803,C00008,A00008,2023-04-01,49.9,True,11
F0000804,C00008,A00008,2023-05-01,49.9,True,13
F0000805,C00008,A00008,2023-06-01,49.9,True,13
F0000806,C00008,A00008,2023-07-01,49.9,True,5
F0000807,C00008,A00008,2023-08-01,49.9,True,17
F0000808,C00008,A00008,2023-09-01,49.9,True,14
F0000809,C00008,A00008,2023-10-01,49.9,True,19
F0000810,C00008,A00008,2023-11-01,49.9,True,12
F0000811,C00008,A00008,2023-12-01,49.9,True,10
F0000812,C00008,A00008,2024-01-01,49.9,True,11
F0000813,C00008,A00008,2024-02-01,49.9,True,17
F0000814,C00008,A00008,2024-03-01,49.9,True,8
F0000815,C00008,A00008,2024-04-01,49.9,True,13
F0000816,C00008,A00008,2024-05-01,49.9,True,11
F0000817,C00008,A00008,2024-06-01,49.9,True,14
F0000818,C00008,A00008,2024-07-01,49.9,True,18
F0000819,C00008,A00008,2024-08-01,49.9,False,8
F0000820,C00008,A00008,2024-09-01,49.9,True,14
